,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_reduce_dim__k,param_classify__tol,param_classify__shrinking,param_classify__gamma,param_classify__C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
225,0.014196014404296875,0.009823249669230346,0.0028190135955810545,0.0025051082262454037,25,1,True,0.1,8,"{'reduce_dim__k': 25, 'classify__tol': 1, 'classify__shrinking': True, 'classify__gamma': 0.1, 'classify__C': 8}",0.6875,0.65625,0.7096774193548387,0.7419354838709677,0.5806451612903226,0.6751818703934145,0.05479292578297519,39,0.96,0.952,0.9761904761904762,0.9603174603174603,0.9682539682539683,0.963352380952381,0.008223965004979305
470,0.008317136764526367,0.0033798173897393985,0.0017057895660400391,7.372149207956571e-05,20,0.1,False,0.1,16,"{'reduce_dim__k': 20, 'classify__tol': 0.1, 'classify__shrinking': False, 'classify__gamma': 0.1, 'classify__C': 16}",0.71875,0.75,0.6774193548387096,0.7419354838709677,0.4838709677419355,0.6747511247248014,0.09836560770214153,40,0.952,0.976,0.9920634920634921,0.9523809523809523,0.9682539682539683,0.9681396825396826,0.015119346828685355
173,0.02418198585510254,0.00191190465499529,0.004826974868774414,0.00011800948031081732,all,0.001,False,0.001,64,"{'reduce_dim__k': 'all', 'classify__tol': 0.001, 'classify__shrinking': False, 'classify__gamma': 0.001, 'classify__C': 64}",0.6875,0.6875,0.7419354838709677,0.6451612903225806,0.5806451612903226,0.668660859576912,0.05348493642452196,41,0.976,0.984,0.9841269841269841,0.9682539682539683,0.9920634920634921,0.9808888888888889,0.00810652185891274
301,0.012535381317138671,0.00023246309813023742,0.002379035949707031,8.835029517638425e-05,75,0.01,True,0.01,256,"{'reduce_dim__k': 75, 'classify__tol': 0.01, 'classify__shrinking': True, 'classify__gamma': 0.01, 'classify__C': 256}",0.625,0.78125,0.6129032258064516,0.6129032258064516,0.7096774193548387,0.6685531731597588,0.06717982251488754,42,1.0,1.0,1.0,1.0,1.0,1.0,0.0
79,0.006356573104858399,0.001609704803674738,0.0014839649200439453,3.823014966395723e-05,5,1e-06,False,2,0.5,"{'reduce_dim__k': 5, 'classify__tol': 1e-06, 'classify__shrinking': False, 'classify__gamma': 2, 'classify__C': 0.5}",0.75,0.53125,0.6451612903225806,0.7419354838709677,0.6451612903225806,0.6625705944290227,0.07996816583657412,43,0.848,0.68,0.746031746031746,0.7619047619047619,0.8253968253968254,0.7722666666666667,0.05977813890254994
336,0.022068309783935546,0.002922434249595975,0.004930448532104492,0.00013353555375572232,all,0.1,True,0.001,8,"{'reduce_dim__k': 'all', 'classify__tol': 0.1, 'classify__shrinking': True, 'classify__gamma': 0.001, 'classify__C': 8}",0.6875,0.71875,0.7419354838709677,0.6129032258064516,0.5483870967741935,0.6621398487604098,0.07139244823461179,44,0.824,0.848,0.8253968253968254,0.8174603174603174,0.8333333333333334,0.8296380952380952,0.010477491020764427
385,0.00586543083190918,0.0005923871552088828,0.0015909194946289063,0.0002498803423682125,25,1,True,0.1,4,"{'reduce_dim__k': 25, 'classify__tol': 1, 'classify__shrinking': True, 'classify__gamma': 0.1, 'classify__C': 4}",0.6875,0.71875,0.6774193548387096,0.7096774193548387,0.5161290322580645,0.6621398487604097,0.07423371558399766,45,0.928,0.912,0.9444444444444444,0.8968253968253969,0.9285714285714286,0.9219682539682539,0.016227706959612134
274,0.009788179397583007,0.001270773340119337,0.002015972137451172,0.0010338956144224786,15,0.1,False,0.1,256,"{'reduce_dim__k': 15, 'classify__tol': 0.1, 'classify__shrinking': False, 'classify__gamma': 0.1, 'classify__C': 256}",0.75,0.6875,0.6451612903225806,0.7096774193548387,0.5161290322580645,0.6620321623432565,0.08020291100456767,46,1.0,1.0,1.0,1.0,1.0,1.0,0.0
137,0.014652061462402343,0.0017171422581953757,0.0028897762298583985,0.00010468010380452622,100,0.0001,True,0.01,4,"{'reduce_dim__k': 100, 'classify__tol': 0.0001, 'classify__shrinking': True, 'classify__gamma': 0.01, 'classify__C': 4}",0.65625,0.71875,0.6774193548387096,0.6451612903225806,0.5806451612903226,0.6558342107782138,0.04514430046431885,47,0.896,0.912,0.8968253968253969,0.8809523809523809,0.8809523809523809,0.8933460317460318,0.011613141008861957
377,0.005877017974853516,0.0010130131653381027,0.0015404224395751953,8.004716944129311e-05,5,1,False,4,1,"{'reduce_dim__k': 5, 'classify__tol': 1, 'classify__shrinking': False, 'classify__gamma': 4, 'classify__C': 1}",0.75,0.53125,0.5806451612903226,0.7419354838709677,0.6451612903225806,0.6497439456303246,0.0866286119940466,48,0.936,0.856,0.9126984126984127,0.9206349206349206,0.9206349206349206,0.9091936507936508,0.027648629295862672
