,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
210,0.28757433891296386,0.008877822076071145,0.025915241241455077,0.01418520860531191,100,15,4,25,100,False,"{'n_estimators': 100, 'min_samples_split': 15, 'min_samples_leaf': 4, 'max_features': 25, 'max_depth': 100, 'bootstrap': False}",0.7391304347826086,0.7611940298507462,0.835820895522388,0.746268656716418,0.8507462686567164,0.7863501483679525,0.04703993748927079,90,0.9925373134328358,0.9925925925925926,0.9925925925925926,0.9888888888888889,1.0,0.9933222775013821,0.003631197077523359
290,0.8134810447692871,0.0404910904292879,0.01244974136352539,0.003652826367621186,100,8,4,100,20,False,"{'n_estimators': 100, 'min_samples_split': 8, 'min_samples_leaf': 4, 'max_features': 100, 'max_depth': 20, 'bootstrap': False}",0.7536231884057971,0.835820895522388,0.7910447761194029,0.7313432835820896,0.8208955223880597,0.7863501483679525,0.03935814365457422,90,0.996268656716418,0.9962962962962963,1.0,1.0,1.0,0.9985129906025427,0.0018212281067527905
396,0.7381961345672607,0.021172062684993824,0.012552261352539062,0.0008675861762764065,100,50,3,75,10,False,"{'n_estimators': 100, 'min_samples_split': 50, 'min_samples_leaf': 3, 'max_features': 75, 'max_depth': 10, 'bootstrap': False}",0.7536231884057971,0.835820895522388,0.7761194029850746,0.7164179104477612,0.8507462686567164,0.7863501483679525,0.05023365580032305,90,0.9589552238805971,0.937037037037037,0.9592592592592593,0.9222222222222223,0.9444444444444444,0.9443836373687121,0.013990852835569173
360,0.2839334964752197,0.014915779720242934,0.006623744964599609,0.0012382518855857533,50,15,5,75,40,False,"{'n_estimators': 50, 'min_samples_split': 15, 'min_samples_leaf': 5, 'max_features': 75, 'max_depth': 40, 'bootstrap': False}",0.7681159420289855,0.835820895522388,0.7761194029850746,0.7014925373134329,0.8507462686567164,0.7863501483679525,0.053212001994781155,90,0.9850746268656716,0.9777777777777777,0.9814814814814815,0.9740740740740741,0.9925925925925926,0.9822001105583196,0.006361956471858961
22,0.10010347366333008,0.010185842252556546,0.004404878616333008,0.00017911266804393944,25,8,1,50,20,True,"{'n_estimators': 25, 'min_samples_split': 8, 'min_samples_leaf': 1, 'max_features': 50, 'max_depth': 20, 'bootstrap': True}",0.782608695652174,0.8507462686567164,0.7611940298507462,0.7164179104477612,0.8059701492537313,0.7833827893175074,0.04464478272276708,113,0.996268656716418,0.9851851851851852,0.9925925925925926,0.9925925925925926,0.9962962962962963,0.992587064676617,0.004052169795982002
303,0.1126213550567627,0.004584598382059455,0.007287836074829102,0.0011822223249826304,50,15,2,sqrt,20,False,"{'n_estimators': 50, 'min_samples_split': 15, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 20, 'bootstrap': False}",0.7681159420289855,0.7910447761194029,0.8059701492537313,0.7014925373134329,0.8507462686567164,0.7833827893175074,0.04895150840170389,113,1.0,0.9962962962962963,1.0,0.9962962962962963,0.9962962962962963,0.9977777777777778,0.0018144368465060332
439,0.46350827217102053,0.02369871316119923,0.023374223709106447,0.0007997117224948134,200,10,1,10,75,False,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 10, 'max_depth': 75, 'bootstrap': False}",0.7971014492753623,0.7761194029850746,0.8059701492537313,0.746268656716418,0.7910447761194029,0.7833827893175074,0.020880209092430258,113,1.0,1.0,1.0,1.0,1.0,1.0,0.0
139,0.06779165267944336,0.010288551203467442,0.005022096633911133,0.001425743313537378,25,8,4,sqrt,100,False,"{'n_estimators': 25, 'min_samples_split': 8, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 100, 'bootstrap': False}",0.7681159420289855,0.835820895522388,0.7910447761194029,0.6865671641791045,0.835820895522388,0.7833827893175074,0.05492080980395281,113,1.0,0.9925925925925926,1.0,0.9962962962962963,1.0,0.9977777777777778,0.0029629629629629615
471,2.718647336959839,0.07250838533169417,0.06858525276184083,0.006945084586727916,600,15,3,50,10,False,"{'n_estimators': 600, 'min_samples_split': 15, 'min_samples_leaf': 3, 'max_features': 50, 'max_depth': 10, 'bootstrap': False}",0.7681159420289855,0.8059701492537313,0.7611940298507462,0.7164179104477612,0.8656716417910447,0.7833827893175074,0.04984804968005193,113,0.9850746268656716,0.9962962962962963,0.9925925925925926,0.9888888888888889,0.9925925925925926,0.9910889994472084,0.0038118417906986726
473,0.45006651878356935,0.03328605733140975,0.008037900924682618,0.003073450796412643,50,50,1,100,100,False,"{'n_estimators': 50, 'min_samples_split': 50, 'min_samples_leaf': 1, 'max_features': 100, 'max_depth': 100, 'bootstrap': False}",0.7391304347826086,0.8059701492537313,0.7910447761194029,0.7164179104477612,0.8656716417910447,0.7833827893175074,0.05245803504359673,113,0.9514925373134329,0.9518518518518518,0.9666666666666667,0.9481481481481482,0.9518518518518518,0.9540022111663904,0.00648390376473145
