,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
377,0.038701629638671874,0.0030084533281070705,0.0030831336975097657,0.00012198521583508664,10,50,10,100,40,True,"{'n_estimators': 10, 'min_samples_split': 50, 'min_samples_leaf': 10, 'max_features': 100, 'max_depth': 40, 'bootstrap': True}",0.7586206896551724,0.6896551724137931,0.4482758620689655,0.6428571428571429,0.6785714285714286,0.6433906827849323,0.10504909866652246,287,0.8333333333333334,0.7807017543859649,0.7807017543859649,0.8434782608695652,0.7739130434782608,0.8024256292906179,0.02965611491818146
446,1.121612787246704,0.031212063619269887,0.0918616771697998,0.00963084719110098,800,50,2,10,75,True,"{'n_estimators': 800, 'min_samples_split': 50, 'min_samples_leaf': 2, 'max_features': 10, 'max_depth': 75, 'bootstrap': True}",0.7241379310344828,0.6551724137931034,0.5172413793103449,0.6428571428571429,0.6785714285714286,0.6433906827849323,0.06926149884303798,287,0.8333333333333334,0.8157894736842105,0.8157894736842105,0.808695652173913,0.8521739130434782,0.8251563691838293,0.015768595917154023
434,0.3142883777618408,0.015880777885212645,0.02585458755493164,0.002746586832731077,200,10,4,5,,False,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 5, 'max_depth': None, 'bootstrap': False}",0.6896551724137931,0.6551724137931034,0.5517241379310345,0.6428571428571429,0.6785714285714286,0.6433906827849323,0.04896798667141226,287,1.0,1.0,1.0,1.0,1.0,1.0,0.0
114,0.9580765724182129,0.03158445603651245,0.04271278381347656,0.0017292051567219333,400,10,5,25,30,True,"{'n_estimators': 400, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_features': 25, 'max_depth': 30, 'bootstrap': True}",0.7241379310344828,0.6551724137931034,0.5172413793103449,0.6428571428571429,0.6785714285714286,0.6433906827849323,0.06926149884303798,287,0.9473684210526315,0.9385964912280702,0.9473684210526315,0.9478260869565217,0.9652173913043478,0.9492753623188405,0.008689762079705177
80,1.4467569828033446,0.01805622118126183,0.08350086212158203,0.003910256645678239,800,10,4,sqrt,150,True,"{'n_estimators': 800, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 150, 'bootstrap': True}",0.7241379310344828,0.6551724137931034,0.5172413793103449,0.6428571428571429,0.6785714285714286,0.6433906827849323,0.06926149884303798,287,0.9649122807017544,0.9473684210526315,0.956140350877193,0.9565217391304348,0.9652173913043478,0.9580320366132723,0.006611191284323043
82,0.26807613372802735,0.00954649254207664,0.022127628326416016,0.0019390227708430189,200,20,3,5,50,False,"{'n_estimators': 200, 'min_samples_split': 20, 'min_samples_leaf': 3, 'max_features': 5, 'max_depth': 50, 'bootstrap': False}",0.6896551724137931,0.6206896551724138,0.5862068965517241,0.6428571428571429,0.6785714285714286,0.6433906827849323,0.03792291019052456,287,0.9649122807017544,0.9473684210526315,0.9736842105263158,0.9478260869565217,0.9739130434782609,0.9615408085430968,0.011839352929199395
274,1.8591205596923828,0.02758092038046581,0.134765625,0.03028665852237837,1000,10,4,auto,150,True,"{'n_estimators': 1000, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 150, 'bootstrap': True}",0.7241379310344828,0.6551724137931034,0.5172413793103449,0.6428571428571429,0.6785714285714286,0.6433906827849323,0.06926149884303798,287,0.9649122807017544,0.956140350877193,0.956140350877193,0.9478260869565217,0.9565217391304348,0.9563081617086194,0.005405152949058829
350,0.08700366020202636,0.006321971158631747,0.00838623046875,0.0020264579333153427,50,20,1,5,40,False,"{'n_estimators': 50, 'min_samples_split': 20, 'min_samples_leaf': 1, 'max_features': 5, 'max_depth': 40, 'bootstrap': False}",0.7241379310344828,0.6896551724137931,0.5172413793103449,0.6428571428571429,0.6428571428571429,0.6433541389542617,0.07041801482011582,294,0.9912280701754386,0.9824561403508771,0.9912280701754386,0.991304347826087,0.9826086956521739,0.987765064836003,0.004272801385380036
159,0.037437057495117186,0.0007990624284624984,0.004628419876098633,0.00018748931455401456,25,12,2,5,40,False,"{'n_estimators': 25, 'min_samples_split': 12, 'min_samples_leaf': 2, 'max_features': 5, 'max_depth': 40, 'bootstrap': False}",0.7241379310344828,0.6206896551724138,0.5517241379310345,0.6071428571428571,0.7142857142857143,0.6432847056759877,0.06603544361249906,295,1.0,0.9824561403508771,1.0,1.0,1.0,0.9964912280701753,0.007017543859649145
51,0.09753837585449218,0.0057939869033156455,0.005888843536376953,0.0021736102026317437,25,15,10,75,20,True,"{'n_estimators': 25, 'min_samples_split': 15, 'min_samples_leaf': 10, 'max_features': 75, 'max_depth': 20, 'bootstrap': True}",0.7241379310344828,0.6896551724137931,0.4827586206896552,0.6071428571428571,0.7142857142857143,0.6432847056759877,0.0905513457571538,295,0.8947368421052632,0.868421052631579,0.8596491228070176,0.8869565217391304,0.8956521739130435,0.8810831426392067,0.014511529850066053
